"target_id" "identifiers" "length" "eff_length" "est_counts" "tpm" "Entry.name" "Status" "Protein.names" "Gene.names" "Organism" "Length" "Gene.ontology..biological.process." "Gene.ontology..cellular.component." "Gene.ontology..GO." "Gene.ontology..molecular.function." "Gene.ontology.IDs"
"32620" "TRINITY_DN9716_c0_g5_i1" "P49165" 4312 4129.52 69 245.868 "RL4_URECA" "reviewed" "60S ribosomal protein L4 (L1)" "RPL4 RPL1" "Urechis caupo (Innkeeper worm) (Spoonworm)" 386 "translation [GO:0006412]" "ribosome [GO:0005840]" "ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]" "structural constituent of ribosome [GO:0003735]" "GO:0003735; GO:0005840; GO:0006412"
"7000" "TRINITY_DN13822_c3_g2_i1" "Q9DG68" 1307 1124.52 66 863.633 "RLA0_LITSY" "reviewed" "60S acidic ribosomal protein P0 (60S ribosomal protein L10E)" "RPLP0" "Lithobates sylvaticus (Wood frog) (Rana sylvatica)" 315 "ribosome biogenesis [GO:0042254]" "ribosome [GO:0005840]" "ribosome [GO:0005840]; ribosome biogenesis [GO:0042254]" "" "GO:0005840; GO:0042254"
"68927" "TRINITY_DN687454_c5_g1_i1" "Q9BMX5" 897 714.522 65 1338.6 "RS6_APLCA" "reviewed" "40S ribosomal protein S6" "RPS6" "Aplysia californica (California sea hare)" 247 "translation [GO:0006412]" "ribosome [GO:0005840]" "ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]" "structural constituent of ribosome [GO:0003735]" "GO:0003735; GO:0005840; GO:0006412"
"2273" "TRINITY_DN9614_c1_g3_i3" "P41312" 1822 1639.52 64.9962 583.343 "COX3_DIDVI" "reviewed" "Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)" "MT-CO3 COIII COXIII MTCO3" "Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)" 281 "aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "cytochrome-c oxidase activity [GO:0004129]" "GO:0004129; GO:0005743; GO:0008535; GO:0016021; GO:0019646; GO:0045277"
"23322" "TRINITY_DN40849_c0_g1_i1" "O57592" 1010 827.522 64 1138.03 "RL7A_TAKRU" "reviewed" "60S ribosomal protein L7a (Surfeit locus protein 3)" "rpl7a surf3" "Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)" 266 "ribosome biogenesis [GO:0042254]" "ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]" "ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ribosome biogenesis [GO:0042254]" "" "GO:0005840; GO:0042254; GO:1990904"
"12190" "TRINITY_DN210_c11_g1_i1" "P39872" 3042 2859.52 63.9501 329.08 "RL3_BOVIN" "reviewed" "60S ribosomal protein L3" "RPL3" "Bos taurus (Bovine)" 403 "ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]" "cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]" "cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]" "RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]" "GO:0000027; GO:0003723; GO:0003735; GO:0005730; GO:0006412; GO:0022625"
"39188" "TRINITY_DN5515_c4_g1_i4" "P41824" 3290 3107.52 63.1634 299.092 "YBOXH_APLCA" "reviewed" "Y-box factor homolog (APY1)" "" "Aplysia californica (California sea hare)" 253 "" "nucleus [GO:0005634]" "nucleus [GO:0005634]; RNA binding [GO:0003723]" "RNA binding [GO:0003723]" "GO:0003723; GO:0005634"
"18283" "TRINITY_DN8383_c3_g1_i1" "O01802" 2461 2278.52 62.3089 402.393 "RL7_CAEEL" "reviewed" "60S ribosomal protein L7" "rpl-7 F53G12.10" "Caenorhabditis elegans" 244 "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]" "cytosolic large ribosomal subunit [GO:0022625]" "cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]" "RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]" "GO:0000463; GO:0003723; GO:0003735; GO:0022625"
"629" "TRINITY_DN4739_c1_g1_i1" "Q4PMB3" 990 807.522 61.0339 1112.17 "RS4_IXOSC" "reviewed" "40S ribosomal protein S4" "RpS4" "Ixodes scapularis (Black-legged tick) (Deer tick)" 262 "translation [GO:0006412]" "ribosome [GO:0005840]" "ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]" "rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]" "GO:0003735; GO:0005840; GO:0006412; GO:0019843"
"35125" "TRINITY_DN7032_c0_g1_i10" "P11833" 1948 1765.52 60.3931 503.347 "TBB_PARLI" "reviewed" "Tubulin beta chain (Beta-tubulin)" "" "Paracentrotus lividus (Common sea urchin)" 447 "microtubule-based process [GO:0007017]" "cytoplasm [GO:0005737]; microtubule [GO:0005874]" "cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]" "GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]" "GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017"
"1952" "TRINITY_DN2952_c1_g1_i3" "P12261" 1432 1249.52 58.9996 694.797 "EF1G_ARTSA" "reviewed" "Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)" "" "Artemia salina (Brine shrimp)" 430 "glutathione metabolic process [GO:0006749]" "" "translation elongation factor activity [GO:0003746]; glutathione metabolic process [GO:0006749]" "translation elongation factor activity [GO:0003746]" "GO:0003746; GO:0006749"
"7599" "TRINITY_DN37362_c0_g1_i4" "Q6P0V6" 3302 3119.52 56.9984 268.861 "RL8_DANRE" "reviewed" "60S ribosomal protein L8" "rpl8 zgc:73105" "Danio rerio (Zebrafish) (Brachydanio rerio)" 257 "cytoplasmic translation [GO:0002181]" "cytosolic large ribosomal subunit [GO:0022625]" "cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]" "RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]" "GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625"
"11079" "TRINITY_DN15014_c1_g1_i2" "P11024" 6878 6695.52 54 118.676 "NNTM_BOVIN" "reviewed" "NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)" "NNT" "Bos taurus (Bovine)" 1086 "NADPH regeneration [GO:0006740]; proton transmembrane transport [GO:1902600]; reactive oxygen species metabolic process [GO:0072593]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; NAD binding [GO:0051287]; NAD(P)+ transhydrogenase activity [GO:0008746]; NADP binding [GO:0050661]; NADPH regeneration [GO:0006740]; proton transmembrane transport [GO:1902600]; reactive oxygen species metabolic process [GO:0072593]" "NAD(P)+ transhydrogenase activity [GO:0008746]; NAD binding [GO:0051287]; NADP binding [GO:0050661]" "GO:0005743; GO:0006740; GO:0008746; GO:0016021; GO:0050661; GO:0051287; GO:0072593; GO:1902600"
"5746" "TRINITY_DN882_c2_g1_i2" "Q5R546" 2041 1858.52 50 395.873 "ATPA_PONAB" "reviewed" "ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)" "ATP5F1A ATP5A1" "Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)" 553 "" "mitochondrial proton-transporting ATP synthase complex [GO:0005753]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]" "mitochondrial proton-transporting ATP synthase complex [GO:0005753]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]" "ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]" "GO:0005524; GO:0005753; GO:0005886; GO:0045261; GO:0046933"
