"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"19","PGEN_.00g009210","PGEN_.00g009210",0,0,0,0,0.645314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","PGEN_.00g010470","PGEN_.00g010470",0,0,0,0,5.04012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","PGEN_.00g011310","PGEN_.00g011310",0,0,0,0,0.327176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PGEN_.00g011400","PGEN_.00g011400",0,0,0,0,0.396405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PGEN_.00g012060","PGEN_.00g012060",0,0,0,0,0.722786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PGEN_.00g012820","PGEN_.00g012820",0,0,0,0,0.083027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","PGEN_.00g012850","PGEN_.00g012850",0,0,0,0,0.553309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","PGEN_.00g013000","PGEN_.00g013000",0,0,0,0,1.187806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","PGEN_.00g013260","PGEN_.00g013260",0,0,0,0,0.06394,"Q10741;A8E663",282132,"ADAM10","Disintegrin and metalloproteinase domain-containing protein 10","CD156c","GO:0005912;GO:0030424;GO:0009986;GO:0030136;GO:0005737;GO:0030425;GO:0098978;GO:0005794;GO:0000139;GO:0005798;GO:0005634;GO:0097038;GO:0005886;GO:0046930;GO:0014069;GO:0097060;GO:0097197;GO:0004175;GO:0046872;GO:0004222;GO:1902945;GO:0008237;GO:0042803;GO:0019901;GO:0017124;GO:0034332;GO:0042987;GO:0090102;GO:0051089;GO:0001701;GO:0006509;GO:0042117;GO:0007162;GO:0010629;GO:0007219;GO:0046931;GO:0030307;GO:0008284;GO:0010820;GO:0099173;GO:0006468;GO:0016485;GO:0098696;GO:0008593;GO:1901342;GO:0034612;GO:1901998","GO:0034332;GO:0042987;GO:0090102;GO:0051089;GO:0001701;GO:0006509;GO:0042117;GO:0007162;GO:0010629;GO:0007219;GO:0046931;GO:0030307;GO:0008284;GO:0010820;GO:0099173;GO:0006468;GO:0016485;GO:0098696;GO:0008593;GO:1901342;GO:0034612;GO:1901998","GO:0005912;GO:0030424;GO:0009986;GO:0030136;GO:0005737;GO:0030425;GO:0098978;GO:0005794;GO:0000139;GO:0005798;GO:0005634;GO:0097038;GO:0005886;GO:0046930;GO:0014069;GO:0097060;GO:0097197","GO:0004175;GO:0046872;GO:0004222;GO:1902945;GO:0008237;GO:0042803;GO:0019901;GO:0017124","GO:0034330;GO:0048856;GO:0048856;GO:0002376;GO:0007155;GO:0023052;GO:0065003;GO:0002376;GO:0048870;GO:0034330;GO:0051604;GO:0023052;GO:0048856","cell junction organization;anatomical structure development;anatomical structure development;immune system process;cell adhesion;signaling;protein-containing complex assembly;immune system process;cell motility;cell junction organization;protein maturation;signaling;anatomical structure development"
"28","PGEN_.00g014000","PGEN_.00g014000",0,0,0,0,0.120894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PGEN_.00g014930","PGEN_.00g014930",0,0,0,0,0.095501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","PGEN_.00g015510","PGEN_.00g015510",0,0,0,0,4.498518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PGEN_.00g015740","PGEN_.00g015740",0,0,0,0,17.902583,"A0JPI9;Q4KLZ5",314328,"Lrrc74a","Leucine-rich repeat-containing protein 74A","Leucine-rich repeat-containing protein 74","","","","",NA,NA
"32","PGEN_.00g015790","PGEN_.00g015790",0,0,0,0,0.506776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","PGEN_.00g016110","PGEN_.00g016110",0,0,0,0,0.279781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","PGEN_.00g016920","PGEN_.00g016920",0,0,0,0,0.138735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","PGEN_.00g019130","PGEN_.00g019130",0,0,0,0,0.156282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","PGEN_.00g019460","PGEN_.00g019460",0,0,0,0,0.268879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","PGEN_.00g019690","PGEN_.00g019690",0,0,0,0,0.272286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","PGEN_.00g019710","PGEN_.00g019710",0,0,0,0,9.600074,"Q575S8",NA,"cygb2","Cytoglobin-2","MAPK/ERK kinase kinase kinase 3","GO:0005737;GO:0020037;GO:0005506;GO:0098809;GO:0019825;GO:0005344","","GO:0005737","GO:0020037;GO:0005506;GO:0098809;GO:0019825;GO:0005344",NA,NA
"39","PGEN_.00g020630","PGEN_.00g020630",0,0,0,0,0.150439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","PGEN_.00g021390","PGEN_.00g021390",0,0,0,0,0.330382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","PGEN_.00g022460","PGEN_.00g022460",0,0,0,0,28.07182,"Q9MYP6",282652,"HSD17B14","17-beta-hydroxysteroid dehydrogenase 14","Retinal short-chain dehydrogenase/reductase retSDR3","GO:0005829;GO:0044594;GO:0004303;GO:0042802;GO:0047045;GO:0006706","GO:0006706","GO:0005829","GO:0044594;GO:0004303;GO:0042802;GO:0047045","GO:0006629","lipid metabolic process"
"42","PGEN_.00g023530","PGEN_.00g023530",0,0,0,0,0.473299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","PGEN_.00g024060","PGEN_.00g024060",0,0,0,0,0.080367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","PGEN_.00g025310","PGEN_.00g025310",0,0,0,0,0.131234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","PGEN_.00g026150","PGEN_.00g026150",0,0,0,0,0.199264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PGEN_.00g026470","PGEN_.00g026470",0,0,0,0,0.106361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","PGEN_.00g026630","PGEN_.00g026630",0,0,0,0,0.460789,"C0JB51",NA,"","Dermonecrotic toxin LafSicTox-betaIE1","Sphingomyelin phosphodiesterase D","GO:0005576;GO:0016829;GO:0046872;GO:0008081;GO:0090729;GO:0044179;GO:0016042","GO:0044179;GO:0016042","GO:0005576","GO:0016829;GO:0046872;GO:0008081;GO:0090729","GO:0006629","lipid metabolic process"
"48","PGEN_.00g026880","PGEN_.00g026880",0,0,0,0,1.427882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PGEN_.00g027010","PGEN_.00g027010",0,0,0,0,3.378293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PGEN_.00g027200","PGEN_.00g027200",0,0,0,0,0.134085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PGEN_.00g027240","PGEN_.00g027240",0,0,0,0,0.129731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","PGEN_.00g027870","PGEN_.00g027870",0,0,0,0,0.047607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","PGEN_.00g027900","PGEN_.00g027900",0,0,0,0,0.321655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","PGEN_.00g028200","PGEN_.00g028200",0,0,0,0,0.533778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","PGEN_.00g028550","PGEN_.00g028550",0,0,0,0,1.229491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","PGEN_.00g028860","PGEN_.00g028860",0,0,0,0,0.089581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PGEN_.00g029000","PGEN_.00g029000",0,0,0,0,0.165927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","PGEN_.00g031900","PGEN_.00g031900",0,0,0,0,0.585168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","PGEN_.00g033850","PGEN_.00g033850",0,0,0,0,0.775638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","PGEN_.00g033860","PGEN_.00g033860",0,0,0,0,0.228262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","PGEN_.00g035080","PGEN_.00g035080",0,0,0,0,0.528807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","PGEN_.00g035570","PGEN_.00g035570",0,0,0,0,0.666513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PGEN_.00g035710","PGEN_.00g035710",0,0,0,0,5.562318,"Q91WS7;Q3TN66;Q3UNR5",211896,"Depdc7","DEP domain-containing protein 7","Protein TR2/D15","GO:0035556","GO:0035556","","","GO:0023052","signaling"
"64","PGEN_.00g036770","PGEN_.00g036770",0,0,0,0,3.487021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","PGEN_.00g036860","PGEN_.00g036860",0,0,0,0,0.32341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","PGEN_.00g037210","PGEN_.00g037210",0,0,0,0,6.403547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","PGEN_.00g037450","PGEN_.00g037450",0,0,0,0,27.456777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","PGEN_.00g037460","PGEN_.00g037460",0,0,0,0,4.831636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","PGEN_.00g037910","PGEN_.00g037910",0,0,0,0,0.533629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","PGEN_.00g038010","PGEN_.00g038010",0,0,0,0,153.411395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","PGEN_.00g038620","PGEN_.00g038620",0,0,0,0,3.215248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","PGEN_.00g039110","PGEN_.00g039110",0,0,0,0,2.017535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","PGEN_.00g039240","PGEN_.00g039240",0,0,0,0,0.995192,"P48180;Q8I932",179235,"acr-16","Acetylcholine receptor subunit alpha-type acr-16","Coiled-coil domain-containing protein 75","GO:0042995;GO:0005887;GO:0043005;GO:0045211;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0042995;GO:0005887;GO:0043005;GO:0045211;GO:0045202","GO:0022848;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0023052","signaling;transmembrane transport;signaling"
"74","PGEN_.00g039740","PGEN_.00g039740",0,0,0,0,0.434153,"Q05901;Q15827",1142,"CHRNB3","Neuronal acetylcholine receptor subunit beta-3","Transducer of erbB-2 1","GO:0005892;GO:0098691;GO:0016021;GO:0005887;GO:0043005;GO:0005886;GO:0045211;GO:0045202;GO:0042166;GO:0022848;GO:0015267;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:2000300;GO:0035094;GO:0007165;GO:0007271","GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:2000300;GO:0035094;GO:0007165;GO:0007271","GO:0005892;GO:0098691;GO:0016021;GO:0005887;GO:0043005;GO:0005886;GO:0045211;GO:0045202","GO:0042166;GO:0022848;GO:0015267;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0016192;GO:0023052;GO:0023052;GO:0023052","signaling;transmembrane transport;vesicle-mediated transport;signaling;signaling;signaling"
"75","PGEN_.00g040130","PGEN_.00g040130",0,0,0,0,0.23949,"Q61618;Q9R202",NA,"Adora3","Adenosine receptor A3","A3AR","GO:0005887;GO:0016020;GO:0031594;GO:0005886;GO:0045202;GO:0001609;GO:0001973;GO:0002553;GO:0030336;GO:0008285;GO:0032088;GO:0050850;GO:0050729;GO:0002687;GO:0043306;GO:0070257;GO:0014068","GO:0001973;GO:0002553;GO:0030336;GO:0008285;GO:0032088;GO:0050850;GO:0050729;GO:0002687;GO:0043306;GO:0070257;GO:0014068","GO:0005887;GO:0016020;GO:0031594;GO:0005886;GO:0045202","GO:0001609","GO:0023052;GO:0002376;GO:0006954;GO:0016192;GO:0023052;GO:0048870;GO:0006351;GO:0006355;GO:0023052;GO:0006954;GO:0002376;GO:0048870;GO:0002376;GO:0016192;GO:0023052","signaling;immune system process;inflammatory response;vesicle-mediated transport;signaling;cell motility;DNA-templated transcription;regulation of DNA-templated transcription;signaling;inflammatory response;immune system process;cell motility;immune system process;vesicle-mediated transport;signaling"
"76","PGEN_.00g040170","PGEN_.00g040170",0,0,0,0,0.205636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","PGEN_.00g040730","PGEN_.00g040730",0,0,0,0,0.064704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","PGEN_.00g040930","PGEN_.00g040930",0,0,0,0,1.72715,"Q7T3S3",NA,"chst11","Carbohydrate sulfotransferase 11","Chondroitin 4-sulfotransferase 1","GO:0000139;GO:0016021;GO:0047756;GO:0008146;GO:0016051;GO:0030206;GO:0008045;GO:0007517;GO:0030166","GO:0016051;GO:0030206;GO:0008045;GO:0007517;GO:0030166","GO:0000139;GO:0016021","GO:0047756;GO:0008146","GO:0005975;GO:0006790;GO:1901135;GO:0030154;GO:0048856;GO:0048856;GO:1901135","carbohydrate metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;cell differentiation;anatomical structure development;anatomical structure development;carbohydrate derivative metabolic process"
"79","PGEN_.00g041640","PGEN_.00g041640",0,0,0,0,4.628511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","PGEN_.00g041810","PGEN_.00g041810",0,0,0,0,6.822775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","PGEN_.00g042340","PGEN_.00g042340",0,0,0,0,4.716694,"Q9VZW5",38357,"FMRFaR","FMRFamide receptor","Proactivator polypeptide","GO:0016021;GO:0005887;GO:0008188;GO:0001653;GO:0008344;GO:0002209;GO:0007629;GO:0007186;GO:0008345;GO:0007218;GO:0007204;GO:0032226","GO:0008344;GO:0002209;GO:0007629;GO:0007186;GO:0008345;GO:0007218;GO:0007204;GO:0032226","GO:0016021;GO:0005887","GO:0008188;GO:0001653","GO:0023052;GO:0023052;GO:0023052","signaling;signaling;signaling"
"82","PGEN_.00g043270","PGEN_.00g043270",0,0,0,0,0.061495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","PGEN_.00g043600","PGEN_.00g043600",0,0,0,0,0.756576,"P35903",NA,"","Achacin","Retinal-specific ATP-binding cassette transporter","GO:0016491;GO:0042742","GO:0042742","","GO:0016491","GO:0098542","defense response to other organism"
"84","PGEN_.00g044270","PGEN_.00g044270",0,0,0,0,3.852883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","PGEN_.00g044340","PGEN_.00g044340",0,0,0,0,3.030546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","PGEN_.00g044350","PGEN_.00g044350",0,0,0,0,1.320818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","PGEN_.00g044450","PGEN_.00g044450",0,0,0,0,0.024093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","PGEN_.00g045340","PGEN_.00g045340",0,0,0,0,2.669249,"Q9Y661;Q5QI42;Q8NDC2",9951,"HS3ST4","Heparan sulfate glucosamine 3-O-sulfotransferase 4","Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 4","GO:0000139;GO:0016021;GO:0008467;GO:0030201","GO:0030201","GO:0000139;GO:0016021","GO:0008467","GO:1901135","carbohydrate derivative metabolic process"
"89","PGEN_.00g045350","PGEN_.00g045350",0,0,0,0,0.110963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","PGEN_.00g046150","PGEN_.00g046150",0,0,0,0,0.063684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","PGEN_.00g046350","PGEN_.00g046350",0,0,0,0,0.59103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","PGEN_.00g047030","PGEN_.00g047030",0,0,0,0,0.55791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","PGEN_.00g047110","PGEN_.00g047110",0,0,0,0,5.636783,"O94673",2541180,"gpc1","Glycerophosphocholine acyltransferase 1","Speckled-like pattern in the germinal center","GO:0005783;GO:0005789;GO:0005794;GO:0000139;GO:0016021;GO:0106158;GO:0006656","GO:0006656","GO:0005783;GO:0005789;GO:0005794;GO:0000139;GO:0016021","GO:0106158","GO:0006629","lipid metabolic process"
"94","PGEN_.00g047190","PGEN_.00g047190",0,0,0,0,492.785955,"C0HKA2;G7H855;P42276;P42277;Q8SXZ4;Q9V5Y4",48343,"deltaTry","Trypsin delta","Single axon-regulated protein","GO:0005829;GO:0005615;GO:0004252","","GO:0005829;GO:0005615","GO:0004252",NA,NA
"95","PGEN_.00g047470","PGEN_.00g047470",0,0,0,0,71.394118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","PGEN_.00g047930","PGEN_.00g047930",0,0,0,0,0.477182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","PGEN_.00g048050","PGEN_.00g048050",0,0,0,0,0.674797,"Q90WY4",NA,"adra2a","Alpha-2A adrenergic receptor","Alpha-2A adrenoreceptor","GO:0005887;GO:0004938;GO:0051379;GO:0004930;GO:0071880;GO:0071881;GO:0007186","GO:0071880;GO:0071881;GO:0007186","GO:0005887","GO:0004938;GO:0051379;GO:0004930","GO:0023052;GO:0023052;GO:0023052","signaling;signaling;signaling"
"98","PGEN_.00g048060","PGEN_.00g048060",0,0,0,0,4.012234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","PGEN_.00g048090","PGEN_.00g048090",0,0,0,0,2.949703,"P83088;Q7PLF1",3355171,"FucTC","Alpha-(13)-fucosyltransferase C","Galactoside 3-L-fucosyltransferase","GO:0032580;GO:0016021;GO:0046920;GO:0008417;GO:0036065;GO:0006486","GO:0036065;GO:0006486","GO:0032580;GO:0016021","GO:0046920;GO:0008417","GO:1901135","carbohydrate derivative metabolic process"
"100","PGEN_.00g048220","PGEN_.00g048220",0,0,0,0,1026.020583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","PGEN_.00g048360","PGEN_.00g048360",0,0,0,0,2.40499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","PGEN_.00g048870","PGEN_.00g048870",0,0,0,0,0.461497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","PGEN_.00g049370","PGEN_.00g049370",0,0,0,0,0.263904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","PGEN_.00g050470","PGEN_.00g050470",0,0,0,0,2.436643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","PGEN_.00g051650","PGEN_.00g051650",0,0,0,0,0.061023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","PGEN_.00g051670","PGEN_.00g051670",0,0,0,0,0.315626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","PGEN_.00g051810","PGEN_.00g051810",0,0,0,0,0.165927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
