"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","identifiers","gene_id.x","gene_name.x","annotation","alt_annotation","goterms","accessions","gene_id.y","gene_name.y","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"14","PGEN_.00g002270","PGEN_.00g002270",0,0,0,0.497136,0,"Q9VML9;Q9VMM1","33812","TrissinR","Trissin receptor","Transcription factor NTF-1","GO:0016021;GO:0005887;GO:0008528;GO:0004930;GO:0008188;GO:0007186","Q9VML9;Q9VMM1",33812,"TrissinR","Trissin receptor","Transcription factor NTF-1","GO:0016021;GO:0005887;GO:0008528;GO:0004930;GO:0008188;GO:0007186","GO:0007186","GO:0016021;GO:0005887","GO:0008528;GO:0004930;GO:0008188","GO:0023052","signaling"
"15","PGEN_.00g002800","PGEN_.00g002800",0,0,0,0.09667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","PGEN_.00g002810","PGEN_.00g002810",0,0,0,0.365455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","PGEN_.00g003020","PGEN_.00g003020",0,0,0,0.09867,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PGEN_.00g003390","PGEN_.00g003390",0,0,0,0.190133,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PGEN_.00g003580","PGEN_.00g003580",0,0,0,1.610027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","PGEN_.00g003670","PGEN_.00g003670",0,0,0,0.52459,0,"O44252;Q5U0W2;Q95RK6;Q9VLF9","34222","rost","Protein rolling stone","Synapse defective protein 1 homolog","GO:0016021;GO:0016020;GO:0007520","O44252;Q5U0W2;Q95RK6;Q9VLF9",34222,"rost","Protein rolling stone","Synapse defective protein 1 homolog","GO:0016021;GO:0016020;GO:0007520","GO:0007520","GO:0016021;GO:0016020","","GO:0030154;GO:0048856","cell differentiation;anatomical structure development"
"21","PGEN_.00g003840","PGEN_.00g003840",0,0,0,0.186609,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PGEN_.00g004230","PGEN_.00g004230",0,0,0,0.174416,0,NA,NA,NA,NA,NA,NA,"Q28113",281175,"FUT2","Galactoside alpha-(12)-fucosyltransferase 2","Type 2 galactoside alpha-(12)-fucosyltransferase FUT2","GO:0032580;GO:0016021;GO:0031127;GO:0008107;GO:0005975;GO:0036065;GO:0006664;GO:0006486;GO:0030155;GO:0001936","GO:0005975;GO:0036065;GO:0006664;GO:0006486;GO:0030155;GO:0001936","GO:0032580;GO:0016021","GO:0031127;GO:0008107","GO:0006629;GO:1901135;GO:1901135;GO:0007155","lipid metabolic process;carbohydrate derivative metabolic process;carbohydrate derivative metabolic process;cell adhesion"
"23","PGEN_.00g004310","PGEN_.00g004310",0,0,0,0.193965,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PGEN_.00g004340","PGEN_.00g004340",0,0,0,0.026273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","PGEN_.00g004410","PGEN_.00g004410",0,0,0,0.422647,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","PGEN_.00g004430","PGEN_.00g004430",0,0,0,1.052609,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","PGEN_.00g004440","PGEN_.00g004440",0,0,0,0.519924,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PGEN_.00g004600","PGEN_.00g004600",0,0,0,0.854926,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PGEN_.00g004630","PGEN_.00g004630",0,0,0,0.374099,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","PGEN_.00g004650","PGEN_.00g004650",0,0,0,0.048171,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PGEN_.00g004700","PGEN_.00g004700",0,0,0,0.339988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","PGEN_.00g004760","PGEN_.00g004760",0,0,0,0.2036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","PGEN_.00g004800","PGEN_.00g004800",0,0,0,0.114992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","PGEN_.00g005310","PGEN_.00g005310",0,0,0,0.267845,0,"Q5SVZ6;D3DPR7;Q7Z3Q4","79830","ZMYM1","Zinc finger MYM-type protein 1","Brain-specific angiogenesis inhibitor 3","GO:0005634;GO:0046983;GO:0008270","Q5SVZ6;D3DPR7;Q7Z3Q4",79830,"ZMYM1","Zinc finger MYM-type protein 1","Brain-specific angiogenesis inhibitor 3","GO:0005634;GO:0046983;GO:0008270","","GO:0005634","GO:0046983;GO:0008270",NA,NA
"35","PGEN_.00g005890","PGEN_.00g005890",0,0,0,0.064982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","PGEN_.00g005960","PGEN_.00g005960",0,0,0,0.786145,0,"P9WN47;L0TG93;O69669;Q7D514","885521","egtD","Histidine N-alpha-methyltransferase","Histidine trimethyltransferase","GO:0005886;GO:0030745;GO:0008276;GO:0052704;GO:0052707","P9WN47;L0TG93;O69669;Q7D514",885521,"egtD","Histidine N-alpha-methyltransferase","Histidine trimethyltransferase","GO:0005886;GO:0030745;GO:0008276;GO:0052704;GO:0052707","GO:0052704;GO:0052707","GO:0005886","GO:0030745;GO:0008276","GO:0006575;GO:0006790;GO:0006520;GO:0006575","cellular modified amino acid metabolic process;sulfur compound metabolic process;cellular amino acid metabolic process;cellular modified amino acid metabolic process"
"37","PGEN_.00g006010","PGEN_.00g006010",0,0,0,0.437659,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","PGEN_.00g006560","PGEN_.00g006560",0,0,0,0.020045,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","PGEN_.00g006810","PGEN_.00g006810",0,0,0,1.060062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","PGEN_.00g007160","PGEN_.00g007160",0,0,0,5.486073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","PGEN_.00g007200","PGEN_.00g007200",0,0,0,0.491015,0,NA,NA,NA,NA,NA,NA,"Q8CGF5;Q9D4Q8",99887,"Tlcd4","TLC domain-containing protein 4","Transmembrane protein 56","GO:0005783;GO:0016021;GO:0055088","GO:0055088","GO:0005783;GO:0016021","",NA,NA
"42","PGEN_.00g007240","PGEN_.00g007240",0,0,0,0.365298,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","PGEN_.00g007650","PGEN_.00g007650",0,0,0,0.028481,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","PGEN_.00g007940","PGEN_.00g007940",0,0,0,16.608911,0,NA,NA,NA,NA,NA,NA,"Q7Z5L3",165257,"C1QL2","Complement C1q-like protein 2","C1q and tumor necrosis factor-related protein 10","GO:0005581;GO:0005615;GO:0042802","","GO:0005581;GO:0005615","GO:0042802",NA,NA
"45","PGEN_.00g008210","PGEN_.00g008210",0,0,0,1.039998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PGEN_.00g008260","PGEN_.00g008260",0,0,0,0.324728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","PGEN_.00g008330","PGEN_.00g008330",0,0,0,0.120943,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","PGEN_.00g008820","PGEN_.00g008820",0,0,0,0.079709,0,NA,NA,NA,NA,NA,NA,"A4QNP7",100125187,"dmrta2","Doublesex- and mab-3-related transcription factor A2","Doublesex- and mab-3-related transcription factor 5","GO:0005634;GO:0000981;GO:0046872;GO:0000978;GO:0006357;GO:0007548","GO:0006357;GO:0007548","GO:0005634","GO:0000981;GO:0046872;GO:0000978","GO:0006351;GO:0006355;GO:0022414","DNA-templated transcription;regulation of DNA-templated transcription;reproductive process"
"49","PGEN_.00g008840","PGEN_.00g008840",0,0,0,0.071263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PGEN_.00g009460","PGEN_.00g009460",0,0,0,0.260232,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PGEN_.00g009490","PGEN_.00g009490",0,0,0,0.071835,0,"O43614;Q5VTM0","3062","HCRTR2","Orexin receptor type 2","Hypocretin receptor type 2","GO:0005887;GO:0005886;GO:0045202;GO:0004930;GO:0008188;GO:0016499;GO:0017046;GO:0007268;GO:0022410;GO:0007631;GO:0007186;GO:0007218;GO:0007200;GO:0010840;GO:0051480","O43614;Q5VTM0",3062,"HCRTR2","Orexin receptor type 2","Hypocretin receptor type 2","GO:0005887;GO:0005886;GO:0045202;GO:0004930;GO:0008188;GO:0016499;GO:0017046;GO:0007268;GO:0022410;GO:0007631;GO:0007186;GO:0007218;GO:0007200;GO:0010840;GO:0051480","GO:0007268;GO:0022410;GO:0007631;GO:0007186;GO:0007218;GO:0007200;GO:0010840;GO:0051480","GO:0005887;GO:0005886;GO:0045202","GO:0004930;GO:0008188;GO:0016499;GO:0017046","GO:0023052;GO:0023052;GO:0023052;GO:0023052","signaling;signaling;signaling;signaling"
"52","PGEN_.00g009710","PGEN_.00g009710",0,0,0,1.435475,0,NA,NA,NA,NA,NA,NA,"P02707",396477,"","Hepatic lectin","Pyrimidine-binding protein","GO:0009897;GO:0016021;GO:0030246;GO:0006897","GO:0006897","GO:0009897;GO:0016021","GO:0030246","GO:0016192","vesicle-mediated transport"
"53","PGEN_.00g009720","PGEN_.00g009720",0,0,0,0.055821,0,NA,NA,NA,NA,NA,NA,"P48182",180936,"acr-2","Acetylcholine receptor subunit beta-type acr-2","Pyrimidine-binding protein","GO:0005887;GO:0043005;GO:0045211;GO:0045202;GO:0022848;GO:0005231;GO:0030594;GO:0004888;GO:0098703;GO:0007268;GO:0098662;GO:0034220;GO:0050877;GO:0007274;GO:0010468;GO:0040012;GO:0042391;GO:0006937;GO:0007165","GO:0098703;GO:0007268;GO:0098662;GO:0034220;GO:0050877;GO:0007274;GO:0010468;GO:0040012;GO:0042391;GO:0006937;GO:0007165","GO:0005887;GO:0043005;GO:0045211;GO:0045202","GO:0022848;GO:0005231;GO:0030594;GO:0004888","GO:0055085;GO:0023052;GO:0055085;GO:0055085;GO:0023052;GO:0003012;GO:0023052","transmembrane transport;signaling;transmembrane transport;transmembrane transport;signaling;muscle system process;signaling"
"54","PGEN_.00g010170","PGEN_.00g010170",0,0,0,0.098595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","PGEN_.00g010210","PGEN_.00g010210",0,0,0,0.014418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","PGEN_.00g010930","PGEN_.00g010930",0,0,0,0.024828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PGEN_.00g011380","PGEN_.00g011380",0,0,0,0.398532,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","PGEN_.00g011460","PGEN_.00g011460",0,0,0,0.009492,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","PGEN_.00g011870","PGEN_.00g011870",0,0,0,0.227625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","PGEN_.00g012010","PGEN_.00g012010",0,0,0,3.855769,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","PGEN_.00g012220","PGEN_.00g012220",0,0,0,0.073599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","PGEN_.00g012240","PGEN_.00g012240",0,0,0,0.078729,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PGEN_.00g012660","PGEN_.00g012660",0,0,0,37.402034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","PGEN_.00g012940","PGEN_.00g012940",0,0,0,0.159873,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","PGEN_.00g013450","PGEN_.00g013450",0,0,0,0.278847,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","PGEN_.00g013610","PGEN_.00g013610",0,0,0,0.484935,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","PGEN_.00g014280","PGEN_.00g014280",0,0,0,0.098608,0,"Q3SYK4","432677","Vrtn","Vertnin","Zinc finger protein 856","GO:0000785;GO:0006357","Q3SYK4",432677,"Vrtn","Vertnin","Zinc finger protein 856","GO:0000785;GO:0006357","GO:0006357","GO:0000785","","GO:0006351;GO:0006355","DNA-templated transcription;regulation of DNA-templated transcription"
"68","PGEN_.00g014660","PGEN_.00g014660",0,0,0,0.138098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","PGEN_.00g015250","PGEN_.00g015250",0,0,0,1.85933,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","PGEN_.00g015680","PGEN_.00g015680",0,0,0,0.284475,0,"Q8L706;Q9ZVY8","837052","SYT5","Synaptotagmin-5","Synaptotagmin E","GO:0012505;GO:0005783;GO:0016021;GO:0009506;GO:0008289;GO:0046872;GO:0006869","Q8L706;Q9ZVY8",837052,"SYT5","Synaptotagmin-5","Synaptotagmin E","GO:0012505;GO:0005783;GO:0016021;GO:0009506;GO:0008289;GO:0046872;GO:0006869","GO:0006869","GO:0012505;GO:0005783;GO:0016021;GO:0009506","GO:0008289;GO:0046872",NA,NA
"71","PGEN_.00g016060","PGEN_.00g016060",0,0,0,0.041882,0,"Q17QR8","514442","HARBI1","Putative nuclease HARBI1","Harbinger transposase-derived nuclease","GO:0034451;GO:0005829;GO:0005634;GO:0005886;GO:0046872;GO:0004518","Q17QR8",514442,"HARBI1","Putative nuclease HARBI1","Harbinger transposase-derived nuclease","GO:0034451;GO:0005829;GO:0005634;GO:0005886;GO:0046872;GO:0004518","","GO:0034451;GO:0005829;GO:0005634;GO:0005886","GO:0046872;GO:0004518",NA,NA
"72","PGEN_.00g016140","PGEN_.00g016140",0,0,0,0.037159,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","PGEN_.00g016180","PGEN_.00g016180",0,0,0,0.012623,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","PGEN_.00g016280","PGEN_.00g016280",0,0,0,0.011288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","PGEN_.00g016310","PGEN_.00g016310",0,0,0,0.01148,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","PGEN_.00g016320","PGEN_.00g016320",0,0,0,0.14838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","PGEN_.00g016440","PGEN_.00g016440",0,0,0,0.022365,0,"P33300;D6W3V7","856050","SUR1","Mannosyl phosphorylinositol ceramide synthase SUR1","p92","GO:0000324;GO:0000329;GO:0016021;GO:0031501;GO:0000030;GO:0006688;GO:0006676;GO:0051999;GO:0006675;GO:0030148","P33300;D6W3V7",856050,"SUR1","Mannosyl phosphorylinositol ceramide synthase SUR1","p92","GO:0000324;GO:0000329;GO:0016021;GO:0031501;GO:0000030;GO:0006688;GO:0006676;GO:0051999;GO:0006675;GO:0030148","GO:0006688;GO:0006676;GO:0051999;GO:0006675;GO:0030148","GO:0000324;GO:0000329;GO:0016021;GO:0031501","GO:0000030","GO:0006629;GO:1901135;GO:0006629;GO:1901135;GO:0006629;GO:1901135;GO:0006629;GO:1901135;GO:0006629","lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process"
"78","PGEN_.00g016450","PGEN_.00g016450",0,0,0,0.130594,0,"P38287;D6VQF6","852458","CSH1","Mannosyl phosphorylinositol ceramide synthase CSH1","CSG1/SUR1 homolog 1","GO:0000324;GO:0005794;GO:0016021;GO:0031501;GO:0005774;GO:0000030;GO:0006688;GO:0006676;GO:0051999;GO:0030148","P38287;D6VQF6",852458,"CSH1","Mannosyl phosphorylinositol ceramide synthase CSH1","CSG1/SUR1 homolog 1","GO:0000324;GO:0005794;GO:0016021;GO:0031501;GO:0005774;GO:0000030;GO:0006688;GO:0006676;GO:0051999;GO:0030148","GO:0006688;GO:0006676;GO:0051999;GO:0030148","GO:0000324;GO:0005794;GO:0016021;GO:0031501;GO:0005774","GO:0000030","GO:0006629;GO:1901135;GO:0006629;GO:1901135;GO:0006629;GO:1901135;GO:0006629","lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process"
"79","PGEN_.00g017280","PGEN_.00g017280",0,0,0,1.083265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","PGEN_.00g017450","PGEN_.00g017450",0,0,0,0.066961,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","PGEN_.00g017510","PGEN_.00g017510",0,0,0,0.084116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","PGEN_.00g017520","PGEN_.00g017520",0,0,0,0.023263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","PGEN_.00g017660","PGEN_.00g017660",0,0,0,0.040899,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","PGEN_.00g018060","PGEN_.00g018060",0,0,0,0.009632,0,"Q866F4","100008902","ADCY10","Adenylate cyclase type 10","Testicular soluble adenylyl cyclase","GO:0005929;GO:0005856;GO:0005576;GO:0005634;GO:0048471;GO:0005886;GO:0004016;GO:0005524;GO:0071890;GO:0000287;GO:0006171;GO:0071241;GO:0003351;GO:0035556;GO:0007283","Q866F4",100008902,"ADCY10","Adenylate cyclase type 10","Testicular soluble adenylyl cyclase","GO:0005929;GO:0005856;GO:0005576;GO:0005634;GO:0048471;GO:0005886;GO:0004016;GO:0005524;GO:0071890;GO:0000287;GO:0006171;GO:0071241;GO:0003351;GO:0035556;GO:0007283","GO:0006171;GO:0071241;GO:0003351;GO:0035556;GO:0007283","GO:0005929;GO:0005856;GO:0005576;GO:0005634;GO:0048471;GO:0005886","GO:0004016;GO:0005524;GO:0071890;GO:0000287","GO:0055086;GO:1901135;GO:0007018;GO:0023052;GO:0022414","nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;microtubule-based movement;signaling;reproductive process"
